MaterialID,feature_1_mean,feature_1_std,feature_1_min,feature_1_max,feature_2_mean,feature_2_std,feature_2_min,feature_2_max,feature_3_mean,feature_3_std,feature_3_min,feature_3_max,feature_4_mean,feature_4_std,feature_4_min,feature_4_max,feature_5_mean,feature_5_std,feature_5_min,feature_5_max,feature_6_mean,feature_6_std,feature_6_min,feature_6_max,feature_7_mean,feature_7_std,feature_7_min,feature_7_max,feature_8_mean,feature_8_std,feature_8_min,feature_8_max,feature_9_mean,feature_9_std,feature_9_min,feature_9_max,feature_10_mean,feature_10_std,feature_10_min,feature_10_max,feature_11_mean,feature_11_std,feature_11_min,feature_11_max,feature_12_mean,feature_12_std,feature_12_min,feature_12_max,feature_13_mean,feature_13_std,feature_13_min,feature_13_max,feature_14_mean,feature_14_std,feature_14_min,feature_14_max,feature_15_mean,feature_15_std,feature_15_min,feature_15_max,feature_16_mean,feature_16_std,feature_16_min,feature_16_max,feature_17_mean,feature_17_std,feature_17_min,feature_17_max,feature_18_mean,feature_18_std,feature_18_min,feature_18_max,feature_19_mean,feature_19_std,feature_19_min,feature_19_max,feature_20_mean,feature_20_std,feature_20_min,feature_20_max,duration_ms_mean,duration_ms_std,duration_ms_min,duration_ms_max,target
0,0.304764408,0.0,0.304764408,0.304764408,0.10767330202727274,1.465186722596596,-3.659439603,14.81224478,-0.0038788596999999843,1.0148609089201421,-2.008975685,0.835406199,0.005712784909090925,1.0045255469056225,-0.750177682,1.328521102,-0.0002605170000000071,1.0327279866968213,-2.65048656,0.844487085,-0.010043411645454546,1.0037168990853451,-0.825932012,1.215884339,0.05054842926363636,0.2209343419871044,-0.105323396,0.725363697,-31.343850350909094,0.5848913877685882,-32.68568722,-30.22565296,-9.291278371199999,0.8162973775998059,-9.697567603,-7.666121444,1.6679780313181818,0.7849147802211524,-2.817877002,2.481914327,-0.048271719354545474,0.939852749234996,-0.723297908,1.538748432,-0.010202232981818177,0.9979997672315626,-7.631057559,0.960797485,0.0055562990090909075,1.0451548963591586,-3.124359291,0.366029602,-0.16842767936363634,0.8985070214470743,-1.04431598,1.356374545,0.112549321,0.0,0.112549321,0.112549321,0.0017835167272727472,1.00712706321848,-1.204670526,0.837606292,-0.039910533518181815,0.9607626645152559,-0.725351435,1.561787987,-0.03303787155454547,1.243399055455508,-1.733710677,1.749050121,0.08489760644545453,0.8882465566100233,-0.44021051,6.256820538,0.0014536271363636232,1.0062456492028975,-1.20238828,0.836558999,0.4999524604181818,0.2926503964587721,0.0,1.0,1
1,0.304764408,0.0,0.304764408,0.304764408,0.0008027318363636372,0.24709084369353415,-1.706912002,1.094288486,-0.0051086110909090805,0.9975665905567538,-1.197339723,0.834999975,0.005712784909090925,1.0045255469056225,-0.750177682,1.328521102,0.017492019118181806,1.0003476634109654,-2.65048656,0.844487085,-0.0016894659272727263,1.0007728358753043,-0.825932012,1.21611769,0.3317312907,3.0505177785257156,-0.105323396,31.96265962,-36.56955950109091,0.45361161355330604,-37.60575575,-35.96573291,-12.74473684,1.0203717225020474,-13.76045992,-11.72901376,1.2411885602,0.822043506330937,-3.797807601,2.040945557,-0.007380556409090871,0.9915650787975626,-0.723708477,1.610861554,0.004437495536363639,1.0462027589894918,-8.944907447,0.914993544,0.039322664636363636,0.9950248435762029,-3.123958002,0.366300843,-0.15242307586363635,0.9549901976584673,-1.04431598,1.51642058,0.112549321,0.0,0.112549321,0.112549321,-0.006022494190909068,1.0005515682153432,-1.203642189,0.837606292,-0.01127163901818181,0.9886493025022475,-0.725351435,1.561787987,-0.03303787140909094,0.8950643584002138,-1.23617342,1.251512864,0.062066818772727246,0.8173100708052389,-0.85877495,5.001127217,0.0018242022999999876,1.0000723042368949,-1.20238828,0.836558999,0.49998332100909093,0.2926241033526521,0.0,1.0,1
4,-3.5016116980363634,1.2667111616251714,-4.739830431,-2.217533012,-0.044574641781818185,0.4203450864440476,-4.082809449,0.332609402,0.0033925535909091007,1.0022512680013707,-1.197339723,0.835406199,0.005712784909090925,1.0045255469056225,-0.750177682,1.328521102,0.01480637905454544,0.9998166145582958,-2.65048656,0.844487085,0.007933057745454539,1.0066162195525992,-0.826165362,1.21635104,-0.01564694852727273,0.29883198985505344,-0.105323396,2.901590824,-0.2579628399090909,1.0398335471967346,-2.345264639,2.574803888,-3.603229125,0.0,-3.603229125,-3.603229125,1.0924172781454546,0.6710413500731476,-4.034624163,1.795962907,-0.06700624969090907,0.900492969709531,-0.724562686,1.572224175,0.027558623700000007,0.872393324916293,-6.579977649,0.898118408,0.034054508663636365,0.9993550797450137,-3.125303061,0.366300843,-0.18297731890909089,0.8706856848840547,-1.04431598,1.356374545,0.112549321,0.0,0.112549321,0.112549321,-2.0498545454504905e-06,1.0061547781349653,-1.220095577,0.836577955,-0.025562476209090905,0.9646326627555795,-0.725351435,1.561787987,0.07551571175454544,1.858839315375498,-2.231247934,3.241661892,0.15719510060909092,0.9358682853922006,-0.85877495,5.419691657,0.0008051206090908935,1.0057441836153276,-1.20238828,0.836558999,0.4999866531090909,0.29263132861306773,0.0,1.0,0
6,0.304764408,0.0,0.304764408,0.304764408,0.07231339624545455,0.9046532300541532,-2.569117259,8.937263215,-0.005093839281818173,0.9976247748744653,-1.197339723,0.835406199,0.005712784909090925,1.0045255469056225,-0.750177682,1.328521102,0.025412381345454538,1.0035381377931987,-2.65048656,0.844487085,-0.0013521683818181853,1.0007732033446992,-0.825932012,1.21635104,-0.02331664467272727,0.13140222928033196,-0.105323396,0.565283372,-31.396032895818184,0.6614323744877715,-32.68568722,-30.22565296,-8.958859908818182,0.981690844092398,-9.697567603,-7.666121444,1.7380579166363634,0.8539954278831134,-4.312271166,2.392087355,-0.04099531101818179,0.9503225187735735,-0.723896044,1.605376283,-0.00456988229999999,1.1122643130322027,-9.562055284,1.315175345,0.03832788903636363,0.9980692155352444,-3.124496769,0.366300843,-0.12186883281818181,0.9533815369724555,-1.04431598,1.51642058,0.112549321,0.0,0.112549321,0.112549321,-0.008752260863636362,1.0028907349763643,-1.203642189,0.837606292,-0.042483149509090906,0.9538827415549433,-0.725351435,1.561787987,-0.09636079492727276,0.8291097977918362,-1.23617342,1.251512864,0.11153352539999999,0.8369979604119554,-0.44021051,5.419691657,0.0027506401909090767,1.000277678728686,-1.20238828,0.836558999,0.5000358631818181,0.29265203194010536,0.0,1.0,1
7,0.304764408,0.0,0.304764408,0.304764408,-0.03434627938181818,0.4588573956706838,-4.448183426,0.558793293,0.0033962466727272796,1.0026697623603174,-1.197339723,0.834999975,-0.013184476763636347,0.998949303281586,-0.750177682,1.328521102,0.029554639809090896,1.0054983686423438,-2.65048656,0.844487085,0.008266112499999999,1.0070041318731526,-0.825932012,1.21635104,-0.017377546618181815,0.12652413689003697,-0.105323396,0.271081693,-32.737869765090906,0.5359048623631958,-34.32571007,-31.8656758,-9.78990606468182,0.4250846044047981,-11.72901376,-9.697567603,1.891877326,0.6403655232153542,-3.250679683,2.522744768,-0.029345838554545485,0.9595519637561332,-0.724221097,1.593432,0.030341925409090913,0.8462305777498824,-6.252117861,0.898118408,0.037433773218181816,1.0004164751242361,-3.12382424,0.365895839,-0.09422451768181817,0.9878462220858771,-1.04431598,1.676466615,0.112549321,0.0,0.112549321,0.112549321,0.0008206196000000266,1.0066563328360794,-1.220095577,0.837606292,-0.030520578636363628,0.9578596772151612,-0.725351435,1.561787987,-0.12802225668181821,0.7935997651328394,-1.23617342,0.753975608,0.2180772012181818,1.0228507833975817,-0.44021051,7.51251386,0.0009975346272727106,1.0058852419360627,-1.20238828,0.836558999,0.5000125092636364,0.29262498738961373,0.0,1.0,1
9,0.304764408,0.0,0.304764408,0.304764408,0.028095939472727278,1.4763735161602312,-3.914621428,14.81224478,0.0038172426454545507,0.9964658847844998,-1.197339723,0.835406199,-0.013184476763636347,0.998949303281586,-0.750177682,1.328521102,-0.012232099045454555,1.0286100088188586,-2.65048656,0.844487085,-0.00915880141818182,1.0030619349816483,-0.825932012,1.21611769,-0.03456553241818182,0.12977313974484808,-0.105323396,0.38357057,0.3011358564545455,0.9975813278612654,-2.345264639,2.574803888,0.459663194,0.0,0.459663194,0.459663194,0.6461776693727272,0.8015559715509089,-5.07988347,1.297831518,-0.03883820046363637,0.9620324372092226,-0.726596158,1.621097892,-0.03647923071818181,1.0921541880598016,-8.855710298,0.934279414,-0.057236740163636356,1.0247256487507312,-3.127584458,0.366300843,0.04545202195454544,1.0357420986287373,-1.04431598,1.676466615,-9.073114416,0.0,-9.073114416,-9.073114416,0.0025874891727272723,0.9981937258278991,-1.204670526,0.837606292,-0.05785472249999999,0.9370991016370634,-0.725351435,1.561787987,-0.21396051016363637,0.7854804492097747,-1.23617342,0.753975608,0.13055918173636363,0.881509312593884,-0.44021051,5.001127217,-0.01227190660000001,1.004935442995274,-1.20238828,0.83577509,0.5000141784636364,0.2926410014974967,0.0,1.0,0
10,0.304764408,0.0,0.304764408,0.304764408,-0.05383640685454545,0.41866900010514674,-3.92235421,0.334542598,0.0034073253909091003,1.0022725685813607,-1.197339723,0.834999975,0.005712784909090925,1.0045255469056225,-0.750177682,1.328521102,0.009981330854545433,0.9980560074558137,-2.65048656,0.844487085,0.006969956836363636,1.0056030807330338,-0.825932012,1.21635104,-0.042510551036363635,0.10587448572635301,-0.105323396,0.664792763,-31.112756223454547,0.6097254440354528,-32.68568722,-30.22565296,-10.380872219445454,0.9641797731565961,-11.72901376,-9.697567603,1.227900107381818,0.8355484371954272,-4.238776371,1.983782938,-0.0413471483272727,0.9382988128768169,-0.7246997,1.56147569,0.022452251327272743,0.8906082800514901,-6.888551568,0.876421805,0.03553039082727272,0.9996885879231943,-3.125704349,0.367107135,-0.21207659799999998,0.8797658448908884,-1.04431598,1.356374545,0.112549321,0.0,0.112549321,0.112549321,0.001512409799999987,1.0065349987264312,-1.203642189,0.836577955,-0.02261148417272727,0.9665056113118078,-0.725351435,1.561787987,-0.3315602256818182,1.261171514256553,-1.733710677,1.749050121,0.04684629367272725,0.9204005348820498,-0.85877495,6.675384979,0.0007837412727272553,1.005726352522551,-1.20238828,0.836558999,0.5000000002363637,0.29264603148440255,0.0,1.0,1
13,0.304764408,0.0,0.304764408,0.304764408,0.07115347885454545,1.0426670040339971,-3.143276366,10.32723088,-0.006955084663636358,1.0104687841713214,-1.899701374,0.834999975,0.005712784909090925,1.0045255469056225,-0.750177682,1.328521102,-0.005495239181818185,1.0317031409886095,-2.65048656,0.844487085,-0.009201228745454542,1.0031242974964798,-0.826165362,1.21611769,0.005710205463636367,0.1747644274864551,-0.105323396,1.08013631,-35.369360968181816,0.5316497051551915,-36.78574433,-34.32571007,-11.193450682245455,0.8991605261615742,-11.72901376,-9.697567603,1.5788934313545455,0.8398717726153262,-3.528326686,2.302260383,-0.0265286919181818,0.9721326736299081,-0.724562214,1.56115111,-0.014322396109090895,1.0703834506338963,-8.944907447,0.912582811,0.007239783627272726,1.0389370608674728,-3.123690477,0.366973372,-0.11459401304545454,0.9869461598532991,-1.04431598,1.676466615,0.112549321,0.0,0.112549321,0.112549321,0.007317838209090938,1.0020598530092393,-1.203642189,0.837606292,-0.03589691569999999,0.961250397016613,-0.725351435,1.561787987,-0.11897612473636365,0.7748554359548881,-1.23617342,0.753975608,0.12294891922727272,0.927201889284673,-0.44021051,6.675384979,-0.004425690272727282,1.0025526520909345,-1.20238828,0.83577509,0.5000492076272728,0.29265385217851797,0.0,1.0,1
16,0.304764408,0.0,0.304764408,0.304764408,0.09674195982727272,1.4876137286167743,-4.47718136,14.81224478,-0.004078278718181809,1.0147250220338164,-2.008975685,0.834999975,-0.013184476763636347,0.998949303281586,-0.750177682,1.328521102,-0.012004502327272746,1.029081925102421,-2.65048656,0.844487085,-0.010079474900000001,1.00366423765682,-0.825932012,1.215884339,-0.04408382201818182,0.1031708677523306,-0.105323396,0.38357057,-32.782597660818176,0.5523949157777058,-34.32571007,-31.8656758,-10.233130680754545,0.8991605261615762,-11.72901376,-9.697567603,1.689803758318182,0.7237091899960553,-3.626319746,2.334924737,-0.034768348981818145,0.9626637382408408,-0.726015031,1.553461809,-0.024929624509090906,1.0453170524559983,-7.242929427,0.987315557,0.005266783845454541,1.044604752049956,-3.123552999,0.367107135,-0.1757024991363636,0.8836728143569973,-1.04431598,1.356374545,0.112549321,0.0,0.112549321,0.112549321,0.001923744536363624,1.0070158091618993,-1.208783873,0.837606292,-0.039909743399999996,0.960008090707647,-0.725351435,1.561787987,0.09813104176363634,0.8496357582921145,-1.23617342,1.251512864,0.08870273769999998,0.8994687475807759,-0.44021051,6.256820538,0.0012327073272727135,1.0060674020039375,-1.20238828,0.83577509,0.4999674729363636,0.29265200596146024,0.0,1.0,1
17,0.304764408,0.0,0.304764408,0.304764408,0.08103272608108109,1.480111506053577,-4.4153191,14.81224478,-0.014802764144144135,1.016475743389156,-2.008975685,0.834999975,-0.0010970391171171007,1.0025196643955745,-0.750177682,1.328521102,-0.01786624291891894,1.022967279985459,-2.65048656,0.844487085,0.0009526306576576539,1.0057955118599864,-0.825932012,1.21611769,0.01788427573873874,0.16998912188666876,-0.105323396,0.509038933,-0.3063173217207207,0.9630723201271928,-2.345264639,1.754792467,-1.333865847279279,0.6561939144206929,-1.571782965,0.459663194,0.813678119054054,0.7250292421942577,-4.132617223,1.526481992,-0.0563459489189189,0.9121088580987432,-0.723673987,1.543430992,-0.025648698405405398,1.0209813806187056,-7.112749805,0.939100882,0.004976807342342343,1.0393324623920541,-3.125165582,0.366434605,-0.1792022772972973,0.864404411932777,-1.04431598,1.356374545,0.112549321,0.0,0.112549321,0.112549321,-0.00905764563963963,1.0085906139496676,-1.208783873,0.837606292,-0.015661282756756753,0.9809679639800051,-0.725351435,1.561787987,0.12645113935135133,1.7113489563401785,-2.231247934,2.744124635,-0.11214648861261264,1.1516994626330286,-0.85877495,6.675384979,-0.009455355639639652,1.0081074173637052,-1.20238828,0.836558999,0.49997747953153154,0.29258528571720405,0.0,1.0,0
